TimeInterval,TradeCount,Volume,NYSE,Direct Edge A,BATS Y,NASDAQ OMX,Direct Edge X,BATS
2014-03-13 09:30:05,3,9,7,0,0,2,0,0
2014-03-13 09:30:23,1,1,0,0,0,1,0,0
2014-03-13 09:30:42,1,1,0,0,0,1,0,0
2014-03-13 09:31:27,1,1,0,0,0,1,0,0
2014-03-13 09:31:47,1,1,0,0,0,1,0,0
2014-03-13 09:36:54,1,1,0,0,0,1,0,0
2014-03-13 09:37:21,1,1,0,0,0,0,1,0
2014-03-13 09:43:28,1,1,0,0,0,1,0,0
2014-03-13 09:43:35,1,1,0,0,0,0,1,0
2014-03-13 09:43:58,1,1,0,0,0,0,1,0
2014-03-13 09:44:26,1,1,1,0,0,0,0,0
2014-03-13 09:44:42,1,1,1,0,0,0,0,0
2014-03-13 09:45:03,1,1,0,0,0,1,0,0
2014-03-13 09:45:58,1,1,0,0,0,0,1,0
2014-03-13 09:46:24,1,1,0,0,0,0,1,0
2014-03-13 09:46:52,1,1,1,0,0,0,0,0
2014-03-13 09:47:04,2,2,0,0,0,2,0,0
2014-03-13 09:47:42,1,1,1,0,0,0,0,0
2014-03-13 09:48:33,1,1,0,0,0,1,0,0
2014-03-13 09:49:15,1,1,0,0,0,0,0,1
2014-03-13 09:50:02,1,1,1,0,0,0,0,0
2014-03-13 09:52:39,1,1,0,0,0,1,0,0
2014-03-13 09:52:50,1,1,0,0,0,0,0,1
2014-03-13 09:53:04,2,2,0,0,0,2,0,0
2014-03-13 09:54:04,1,1,0,0,0,1,0,0
2014-03-13 09:54:25,3,3,1,0,0,0,2,0
2014-03-13 09:54:31,1,1,0,0,0,0,1,0
2014-03-13 09:54:36,1,1,0,0,0,0,1,0
2014-03-13 09:54:42,1,1,0,0,0,0,1,0
2014-03-13 09:54:58,1,1,0,0,0,1,0,0
2014-03-13 09:55:12,1,1,0,0,0,1,0,0
2014-03-13 09:56:15,1,1,1,0,0,0,0,0
2014-03-13 09:56:17,1,1,1,0,0,0,0,0
2014-03-13 09:57:20,1,1,0,0,0,1,0,0
2014-03-13 09:57:32,1,1,0,0,0,1,0,0
2014-03-13 10:00:35,1,1,0,0,0,1,0,0
2014-03-13 10:04:44,1,1,0,0,0,1,0,0
2014-03-13 10:05:30,1,1,0,0,0,1,0,0
2014-03-13 10:06:17,1,1,0,0,0,1,0,0
2014-03-13 10:08:15,1,1,0,0,0,1,0,0
2014-03-13 10:09:23,1,1,0,0,0,1,0,0
2014-03-13 10:11:48,1,1,0,0,0,1,0,0
2014-03-13 10:11:51,1,1,0,0,0,1,0,0
2014-03-13 10:11:53,1,1,0,0,0,1,0,0
2014-03-13 10:12:08,2,2,0,0,0,2,0,0
2014-03-13 10:13:03,2,2,0,0,0,1,0,1
2014-03-13 10:13:07,2,2,1,0,0,1,0,0
2014-03-13 10:13:10,1,1,0,0,0,1,0,0
2014-03-13 10:13:11,1,1,0,0,0,1,0,0
2014-03-13 10:13:19,2,2,0,0,0,2,0,0
