TimeInterval,TradeCount,Volume,BATS,NYSE,NASDAQ OMX PSX,Direct Edge A,CBOE,NASDAQ OMX,NYSE Arca SM,National,BATS Y,NASDAQ OMX BX,Direct Edge X
2014-03-13 09:31:33,1,229,0,229,0,0,0,0,0,0,0,0,0
2014-03-13 09:31:49,1,1,0,0,0,0,1,0,0,0,0,0,0
2014-03-13 09:32:05,3,13,0,0,0,0,0,13,0,0,0,0,0
2014-03-13 09:32:24,3,201,0,1,0,0,0,0,200,0,0,0,0
2014-03-13 09:32:50,2,76,6,70,0,0,0,0,0,0,0,0,0
2014-03-13 09:32:51,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:32:54,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:32:55,1,2,0,2,0,0,0,0,0,0,0,0,0
2014-03-13 09:33:01,1,30,0,0,0,0,0,0,30,0,0,0,0
2014-03-13 09:33:07,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:33:40,3,113,0,0,0,0,0,113,0,0,0,0,0
2014-03-13 09:33:58,4,100,0,8,43,0,0,49,0,0,0,0,0
2014-03-13 09:34:40,1,1,0,0,1,0,0,0,0,0,0,0,0
2014-03-13 09:34:52,1,10,0,0,10,0,0,0,0,0,0,0,0
2014-03-13 09:34:58,1,90,90,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:35:27,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:35:43,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:35:49,2,51,0,0,0,0,0,0,51,0,0,0,0
2014-03-13 09:36:31,2,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:36:34,1,3,0,0,0,0,0,0,3,0,0,0,0
2014-03-13 09:37:24,1,18,0,0,18,0,0,0,0,0,0,0,0
2014-03-13 09:40:20,1,20,0,20,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:55,1,20,0,20,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:56,3,96,0,96,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:58,3,60,0,36,0,0,0,24,0,0,0,0,0
2014-03-13 09:43:00,2,40,0,0,10,0,0,30,0,0,0,0,0
2014-03-13 09:43:11,2,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:43:14,1,7,0,0,0,0,0,7,0,0,0,0,0
2014-03-13 09:45:47,2,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:46:43,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 09:47:16,1,10,0,0,10,0,0,0,0,0,0,0,0
2014-03-13 09:48:21,1,1,0,0,0,0,0,1,0,0,0,0,0
2014-03-13 09:49:09,2,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:49:57,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:50:21,1,1,0,0,0,0,0,0,1,0,0,0,0
2014-03-13 09:55:02,2,50,0,0,0,0,0,50,0,0,0,0,0
2014-03-13 09:56:51,4,71,0,4,0,0,0,67,0,0,0,0,0
2014-03-13 09:57:04,1,35,0,35,0,0,0,0,0,0,0,0,0
2014-03-13 09:57:37,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:57:39,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:57:50,2,20,0,0,0,0,0,10,10,0,0,0,0
