TimeInterval,TradeCount,Volume,Direct Edge X,BATS,Direct Edge A,BATS Y,NASDAQ,NASDAQ OMX PSX,NYSE Arca SM,NASDAQ OMX BX,CBOE
2014-03-13 09:30:08,2,2,0,0,0,0,1,0,0,1,0
2014-03-13 09:30:11,1,2,0,0,0,0,2,0,0,0,0
2014-03-13 09:30:12,1,1,0,0,0,0,0,0,0,0,1
2014-03-13 09:30:16,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:30:21,3,134,0,0,0,0,0,0,134,0,0
2014-03-13 09:30:22,1,10,0,0,0,0,0,0,10,0,0
2014-03-13 09:30:24,2,108,108,0,0,0,0,0,0,0,0
2014-03-13 09:30:29,2,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:30:30,5,23,0,10,0,0,13,0,0,0,0
2014-03-13 09:30:34,29,2228,100,900,109,0,819,0,200,100,0
2014-03-13 09:30:45,3,110,0,10,0,0,0,0,100,0,0
2014-03-13 09:30:53,24,1703,550,0,5,0,693,0,255,100,100
2014-03-13 09:30:54,3,118,0,0,0,0,0,0,118,0,0
2014-03-13 09:30:55,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:30:59,2,19,0,0,0,0,0,0,19,0,0
2014-03-13 09:31:00,20,1336,105,0,0,0,629,100,484,18,0
2014-03-13 09:31:03,12,890,0,0,300,0,440,0,150,0,0
2014-03-13 09:31:04,10,477,0,0,0,0,477,0,0,0,0
2014-03-13 09:31:09,25,2140,200,200,100,100,976,0,464,100,0
2014-03-13 09:31:12,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:31:15,6,838,0,0,0,0,838,0,0,0,0
2014-03-13 09:31:18,4,102,0,0,0,0,102,0,0,0,0
2014-03-13 09:31:30,1,100,0,0,0,0,0,0,0,0,100
2014-03-13 09:31:34,8,700,100,0,100,100,400,0,0,0,0
2014-03-13 09:31:43,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:31:56,1,100,0,100,0,0,0,0,0,0,0
2014-03-13 09:31:57,6,600,0,200,0,0,400,0,0,0,0
2014-03-13 09:32:12,2,142,42,0,0,0,100,0,0,0,0
2014-03-13 09:32:13,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:32:38,1,4,0,0,0,0,4,0,0,0,0
2014-03-13 09:32:45,7,600,0,400,0,0,0,0,200,0,0
2014-03-13 09:32:46,6,360,0,0,0,0,160,0,200,0,0
2014-03-13 09:32:49,1,3,0,0,0,0,0,0,0,3,0
2014-03-13 09:33:06,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:33:23,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:33:28,14,636,100,0,0,0,220,0,116,200,0
2014-03-13 09:34:06,1,100,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:10,1,25,0,0,0,0,25,0,0,0,0
2014-03-13 09:34:16,3,140,0,0,0,0,0,0,140,0,0
2014-03-13 09:34:21,1,2,0,0,2,0,0,0,0,0,0
2014-03-13 09:34:59,1,70,0,0,0,0,0,0,70,0,0
2014-03-13 09:35:09,4,110,0,0,0,0,110,0,0,0,0
2014-03-13 09:35:12,5,430,0,100,100,0,0,0,230,0,0
2014-03-13 09:35:33,2,200,0,0,0,0,100,0,0,100,0
2014-03-13 09:35:48,8,284,81,0,0,0,83,0,120,0,0
2014-03-13 09:35:49,13,1575,19,600,0,0,556,0,400,0,0
2014-03-13 09:35:53,2,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:35:58,4,200,0,0,0,0,0,0,139,61,0
2014-03-13 09:36:03,2,53,0,22,0,0,31,0,0,0,0
2014-03-13 09:36:18,4,450,250,0,0,100,0,0,100,0,0
2014-03-13 09:36:19,4,300,0,0,0,0,200,0,100,0,0
2014-03-13 09:36:22,15,866,0,160,0,0,346,0,360,0,0
2014-03-13 09:36:23,11,933,0,100,0,0,333,0,500,0,0
2014-03-13 09:36:24,2,57,0,0,50,0,0,0,7,0,0
2014-03-13 09:36:33,2,57,0,0,0,0,0,0,57,0,0
2014-03-13 09:37:05,2,15,0,0,0,0,0,0,0,15,0
2014-03-13 09:37:08,13,807,100,0,0,0,417,50,240,0,0
2014-03-13 09:37:09,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:37:17,1,2,0,0,0,0,2,0,0,0,0
2014-03-13 09:37:21,1,10,0,0,0,0,0,0,0,10,0
2014-03-13 09:37:29,1,10,0,0,0,0,0,0,0,10,0
2014-03-13 09:37:38,3,240,20,0,0,0,0,0,220,0,0
2014-03-13 09:37:48,5,280,0,0,0,0,280,0,0,0,0
2014-03-13 09:37:49,2,70,0,0,0,0,70,0,0,0,0
2014-03-13 09:37:55,4,165,0,0,0,0,65,0,0,0,100
2014-03-13 09:38:33,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 09:38:42,4,180,0,0,0,0,10,0,70,100,0
2014-03-13 09:38:57,14,1035,500,80,0,0,155,0,200,100,0
2014-03-13 09:38:58,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:39:02,4,700,0,0,0,0,700,0,0,0,0
2014-03-13 09:39:12,1,16,0,0,0,0,0,0,16,0,0
2014-03-13 09:39:23,3,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:39:41,1,4,0,0,0,0,4,0,0,0,0
