TimeInterval,TradeCount,Volume,Direct Edge X,NASDAQ OMX PSX,NYSE Arca SM,BATS,NYSE MKT,NASDAQ OMX BX,BATS Y,NASDAQ OMX,Direct Edge A
2014-03-13 09:30:08,36,67374,0,0,400,17266,48008,0,0,1700,0
2014-03-13 09:30:11,2,47,0,0,0,47,0,0,0,0,0
2014-03-13 09:30:12,2,100,0,0,0,100,0,0,0,0,0
2014-03-13 09:30:15,2,615,0,0,0,615,0,0,0,0,0
2014-03-13 09:30:52,1,62,0,0,0,0,0,0,0,0,62
2014-03-13 09:31:21,2,1100,100,0,0,0,0,0,0,1000,0
2014-03-13 09:31:23,1,85,0,0,0,0,0,0,0,85,0
2014-03-13 09:31:42,1,15,0,0,0,0,0,0,0,15,0
2014-03-13 09:32:08,1,100,0,0,0,100,0,0,0,0,0
2014-03-13 09:32:10,1,1200,0,0,0,0,0,0,0,1200,0
2014-03-13 09:32:34,1,600,0,0,0,0,600,0,0,0,0
2014-03-13 09:32:45,10,900,60,0,0,0,840,0,0,0,0
2014-03-13 09:33:14,2,700,0,0,0,0,600,0,100,0,0
2014-03-13 09:33:15,7,1500,1062,0,0,0,438,0,0,0,0
2014-03-13 09:33:19,1,250,250,0,0,0,0,0,0,0,0
2014-03-13 09:33:54,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:33:57,1,300,0,0,300,0,0,0,0,0,0
2014-03-13 09:34:02,1,224,224,0,0,0,0,0,0,0,0
2014-03-13 09:34:29,2,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:34:36,10,3200,900,0,100,0,1800,0,0,400,0
2014-03-13 09:34:38,4,1150,0,0,0,0,0,0,0,1150,0
2014-03-13 09:34:41,2,1375,0,0,0,0,0,0,0,1375,0
2014-03-13 09:34:58,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:35:00,4,1020,0,0,20,0,0,0,0,1000,0
2014-03-13 09:35:01,2,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:35:15,5,1100,0,0,0,500,600,0,0,0,0
2014-03-13 09:35:34,17,1300,0,0,0,0,0,0,300,1000,0
2014-03-13 09:35:36,3,700,0,0,0,0,0,0,0,700,0
2014-03-13 09:35:37,1,400,0,0,0,0,0,400,0,0,0
2014-03-13 09:35:44,2,200,0,0,0,0,0,0,0,200,0
2014-03-13 09:36:02,2,170,0,0,0,0,70,0,100,0,0
2014-03-13 09:36:03,2,200,0,0,0,0,0,0,0,200,0
2014-03-13 09:36:04,6,500,0,0,0,0,30,0,0,470,0
2014-03-13 09:37:08,2,200,0,0,0,200,0,0,0,0,0
2014-03-13 09:37:37,4,600,0,0,0,0,370,0,0,230,0
2014-03-13 09:37:57,18,5646,3826,0,0,0,1000,0,0,820,0
2014-03-13 09:38:14,2,500,0,0,0,0,0,0,0,500,0
2014-03-13 09:38:21,2,600,0,0,200,0,400,0,0,0,0
2014-03-13 09:38:25,4,1550,1350,0,0,0,0,0,0,200,0
2014-03-13 09:38:31,1,500,0,0,0,0,0,0,0,500,0
2014-03-13 09:38:36,45,34243,4805,100,1400,900,14957,343,200,11538,0
2014-03-13 09:38:45,4,500,0,0,0,0,0,0,100,256,144
2014-03-13 09:38:48,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 09:38:49,5,1044,700,0,0,0,100,0,0,244,0
2014-03-13 09:39:00,3,300,0,0,0,0,0,0,0,300,0
2014-03-13 09:39:03,18,2200,200,0,0,0,100,0,0,1900,0
2014-03-13 09:39:06,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:39:25,10,1800,0,0,0,100,200,100,0,1400,0
2014-03-13 09:40:08,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:40:11,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:40:15,4,356,100,0,100,0,0,0,0,156,0
2014-03-13 09:40:16,1,44,0,0,0,0,0,0,0,44,0
2014-03-13 09:40:24,2,400,0,0,0,0,0,0,0,400,0
2014-03-13 09:40:25,28,3100,0,0,0,100,500,0,0,2500,0
2014-03-13 09:40:28,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:40:34,10,1200,0,0,100,0,300,0,0,800,0
2014-03-13 09:40:52,5,900,0,0,100,500,300,0,0,0,0
2014-03-13 09:41:00,6,600,0,0,0,0,100,0,0,500,0
2014-03-13 09:41:04,4,400,0,0,0,0,100,0,0,300,0
2014-03-13 09:41:07,1,21,0,0,0,0,21,0,0,0,0
2014-03-13 09:41:32,1,1000,0,0,0,0,0,0,1000,0,0
2014-03-13 09:41:51,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:42:51,6,1000,0,0,0,0,0,500,100,400,0
2014-03-13 09:42:54,5,300,0,0,0,50,100,0,0,150,0
2014-03-13 09:43:28,1,100,100,0,0,0,0,0,0,0,0
2014-03-13 09:43:38,6,1300,1000,0,0,0,200,0,0,100,0
2014-03-13 09:43:39,5,1179,450,0,0,450,279,0,0,0,0
2014-03-13 09:43:40,1,100,0,0,0,0,0,0,0,100,0
2014-03-13 09:43:42,1,71,0,0,0,71,0,0,0,0,0
2014-03-13 09:43:54,15,1500,150,0,0,0,200,0,0,1150,0
2014-03-13 09:43:55,2,200,0,0,0,0,100,0,0,100,0
2014-03-13 09:44:21,5,414,0,0,0,214,0,0,0,200,0
2014-03-13 09:44:24,1,30,0,0,0,0,0,0,0,30,0
2014-03-13 09:45:12,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:45:17,12,1901,585,0,0,315,0,0,0,1001,0
2014-03-13 09:45:21,2,853,853,0,0,0,0,0,0,0,0
2014-03-13 09:45:22,1,62,0,0,0,0,62,0,0,0,0
2014-03-13 09:45:26,1,400,400,0,0,0,0,0,0,0,0
2014-03-13 09:45:51,9,900,600,0,0,0,0,0,0,300,0
2014-03-13 09:46:01,2,200,0,0,0,0,100,0,100,0,0
2014-03-13 09:46:02,1,50,0,0,0,0,0,0,50,0,0
2014-03-13 09:46:14,2,110,0,0,0,0,0,0,0,110,0
2014-03-13 09:46:16,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:46:17,3,2100,2000,0,0,0,100,0,0,0,0
2014-03-13 09:46:25,6,2150,0,0,950,0,100,0,0,1100,0
2014-03-13 09:46:26,2,250,0,0,50,0,200,0,0,0,0
2014-03-13 09:46:32,2,500,200,0,300,0,0,0,0,0,0
2014-03-13 09:46:33,2,200,0,0,0,0,0,200,0,0,0
2014-03-13 09:47:01,16,1600,0,0,0,0,100,200,0,1300,0
2014-03-13 09:47:02,1,100,0,0,100,0,0,0,0,0,0
2014-03-13 09:47:05,1,100,0,0,0,0,100,0,0,0,0
2014-03-13 09:48:02,20,2400,400,0,0,0,300,100,100,1450,50
2014-03-13 09:48:03,6,750,0,0,200,0,0,0,0,550,0
2014-03-13 09:48:36,1,100,0,0,0,0,0,0,100,0,0
2014-03-13 09:49:12,3,400,0,0,0,0,100,200,0,100,0
2014-03-13 09:49:21,5,450,350,0,0,0,0,0,0,100,0
2014-03-13 09:49:23,2,300,0,0,0,0,0,0,0,0,300
2014-03-13 09:50:14,24,3600,750,0,450,0,100,0,200,2100,0
2014-03-13 09:51:00,1,4,0,0,0,4,0,0,0,0,0
2014-03-13 09:51:15,4,307,100,0,0,5,202,0,0,0,0
2014-03-13 09:52:07,4,241,141,0,0,0,0,0,0,100,0
2014-03-13 09:52:17,3,600,159,0,441,0,0,0,0,0,0
2014-03-13 09:52:22,4,500,0,0,0,0,100,0,200,100,100
2014-03-13 09:52:28,5,600,0,0,0,0,200,0,0,400,0
2014-03-13 09:53:02,26,2254,400,0,600,204,0,100,100,750,100
2014-03-13 09:53:04,6,118,0,0,0,118,0,0,0,0,0
2014-03-13 09:53:05,3,7,0,0,0,7,0,0,0,0,0
2014-03-13 09:53:12,1,4,0,0,0,4,0,0,0,0,0
2014-03-13 09:53:13,7,21,0,0,0,21,0,0,0,0,0
2014-03-13 09:53:14,8,18,0,0,0,18,0,0,0,0,0
2014-03-13 09:53:15,5,12,0,0,0,12,0,0,0,0,0
2014-03-13 09:53:23,7,19,0,0,0,19,0,0,0,0,0
