TimeInterval,TradeCount,Volume,Direct Edge A,Direct Edge X,NASDAQ OMX PSX,NASDAQ OMX,NYSE Arca SM,NASDAQ OMX BX,BATS,CBOE,BATS Y,National,NYSE
2014-03-13 09:30:56,33,228001,0,0,0,244,0,1700,0,0,500,200,225357
2014-03-13 09:30:58,29,5792,100,1000,0,1050,1700,100,1000,0,200,0,642
2014-03-13 09:31:02,2,112,0,0,0,0,112,0,0,0,0,0,0
2014-03-13 09:31:31,18,9112,100,3265,0,600,100,1100,600,0,100,0,3247
2014-03-13 09:31:32,20,5600,300,0,0,900,0,500,0,0,700,0,3200
2014-03-13 09:31:33,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:31:40,25,8009,0,3601,0,1300,600,0,1400,0,0,0,1108
2014-03-13 09:31:58,7,4100,500,0,0,0,0,100,0,0,0,0,3500
2014-03-13 09:32:00,4,700,100,0,0,0,0,100,0,0,100,0,400
2014-03-13 09:32:04,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:32:07,27,36879,0,28679,0,4800,1300,0,600,0,0,0,1500
2014-03-13 09:32:08,120,49844,200,15300,200,11444,4300,800,4200,3700,900,0,8800
2014-03-13 09:32:37,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:32:40,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:32:48,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:32:51,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:32:54,30,8400,0,2600,0,600,300,1000,700,0,300,0,2900
2014-03-13 09:32:59,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:33:03,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:33:10,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:33:21,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:33:32,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:33:43,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:33:54,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:33:55,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:34:05,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:34:16,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:34:27,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:34:33,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:34:36,1,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:34:38,2,175,0,0,0,0,100,0,0,0,75,0,0
2014-03-13 09:34:41,29,8262,0,1437,0,1000,300,0,1800,0,825,0,2900
2014-03-13 09:34:42,2,300,0,0,0,0,0,0,0,0,300,0,0
2014-03-13 09:34:49,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:34:50,3,500,0,0,0,0,0,0,0,0,400,100,0
2014-03-13 09:35:00,2,200,0,0,0,0,100,0,0,0,0,0,100
2014-03-13 09:35:11,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:35:16,25,4922,0,817,0,500,300,800,305,0,0,0,2200
2014-03-13 09:35:22,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:35:23,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:35:26,2,127,0,0,0,0,0,127,0,0,0,0,0
2014-03-13 09:35:33,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:35:39,10,1300,300,0,0,0,0,200,0,0,400,0,400
2014-03-13 09:35:44,3,300,100,0,0,0,100,100,0,0,0,0,0
2014-03-13 09:35:55,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:36:06,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:36:17,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:36:28,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:36:39,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:36:47,61,103521,200,23007,0,6010,41156,100,5640,0,0,0,27408
2014-03-13 09:36:48,4,1500,0,0,0,0,1500,0,0,0,0,0,0
2014-03-13 09:36:50,2,200,100,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:37:01,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:37:04,2,700,0,0,0,0,0,0,0,0,0,0,700
2014-03-13 09:37:06,2,104,0,0,0,0,0,0,0,0,104,0,0
2014-03-13 09:37:10,1,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:37:12,5,2800,0,0,0,100,100,0,0,0,0,0,2600
2014-03-13 09:37:15,1,300,0,0,0,0,300,0,0,0,0,0,0
2014-03-13 09:37:22,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:37:23,3,400,0,0,0,0,100,0,0,0,0,0,300
2014-03-13 09:37:24,1,1000,0,0,0,0,1000,0,0,0,0,0,0
2014-03-13 09:37:26,3,300,0,0,0,0,0,0,200,0,0,0,100
2014-03-13 09:37:29,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:37:34,4,550,0,0,0,0,200,0,300,0,0,0,50
2014-03-13 09:37:40,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:37:44,11,7300,0,3106,0,0,594,0,800,0,0,0,2800
2014-03-13 09:37:45,2,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:37:49,1,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:37:56,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:38:01,2,900,0,300,0,0,0,0,600,0,0,0,0
2014-03-13 09:38:07,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:38:16,1,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:38:17,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:38:18,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:38:21,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:38:29,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:38:31,2,400,0,400,0,0,0,0,0,0,0,0,0
2014-03-13 09:38:40,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:38:46,1,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:38:51,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:39:00,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:39:01,1,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:02,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:39:03,3,2200,0,1000,0,0,0,0,600,0,0,0,600
2014-03-13 09:39:06,2,1000,0,600,0,0,400,0,0,0,0,0,0
2014-03-13 09:39:11,1,200,0,200,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:13,12,6763,0,200,0,600,4463,100,1300,0,0,0,100
2014-03-13 09:39:16,1,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:39:17,1,1100,0,0,0,0,0,0,0,0,0,0,1100
2014-03-13 09:39:23,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:39:26,24,6113,0,3413,0,0,0,1700,600,0,200,0,200
2014-03-13 09:39:31,1,300,0,300,0,0,0,0,0,0,0,0,0
2014-03-13 09:39:35,2,200,0,0,100,0,100,0,0,0,0,0,0
2014-03-13 09:39:45,5,4100,0,3900,0,0,0,0,0,0,0,0,200
2014-03-13 09:39:46,7,4540,0,440,0,0,100,0,0,3700,0,0,300
2014-03-13 09:39:57,2,200,0,0,0,0,100,100,0,0,0,0,0
2014-03-13 09:39:58,126,51190,1400,11800,320,10900,2500,4000,11020,0,2600,0,6650
2014-03-13 09:40:08,2,300,0,0,0,0,100,200,0,0,0,0,0
2014-03-13 09:40:13,1,200,200,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:40:19,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:40:30,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:40:41,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:40:52,28,46006,0,6100,0,0,2200,0,1800,0,0,0,35906
2014-03-13 09:40:57,43,10900,0,300,0,0,5206,0,0,0,0,0,5394
2014-03-13 09:40:58,14,1400,0,0,0,0,1400,0,0,0,0,0,0
2014-03-13 09:40:59,30,3300,300,0,0,0,2200,400,0,0,400,0,0
2014-03-13 09:41:01,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:41:03,5,500,100,0,0,0,200,100,0,0,0,0,100
2014-03-13 09:41:04,1,3400,0,0,0,0,0,0,0,0,0,0,3400
2014-03-13 09:41:15,1,100,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:41:24,5,1000,500,0,0,0,0,0,100,0,400,0,0
2014-03-13 09:41:25,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:41:26,2,500,0,0,0,0,500,0,0,0,0,0,0
2014-03-13 09:41:30,19,3900,2100,0,0,0,0,1200,0,0,600,0,0
2014-03-13 09:41:31,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:41:39,1,1900,0,0,0,0,0,0,0,0,0,0,1900
2014-03-13 09:41:43,60,54250,100,21800,0,9250,6400,0,5400,0,0,0,11300
2014-03-13 09:41:44,4,400,400,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:41:45,2,5400,0,0,0,1900,0,0,0,0,0,0,3500
2014-03-13 09:41:46,1,400,0,0,0,400,0,0,0,0,0,0,0
2014-03-13 09:41:47,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:41:58,2,500,0,0,0,0,100,0,0,0,0,0,400
2014-03-13 09:42:01,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:42:06,1,100,0,0,0,0,0,0,0,0,0,0,100
2014-03-13 09:42:09,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:42:16,1,300,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:42:20,1,100,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:42:31,2,400,0,0,0,300,100,0,0,0,0,0,0
2014-03-13 09:42:35,26,2933,900,100,0,0,0,1100,0,0,833,0,0
2014-03-13 09:42:37,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:42:39,14,2700,400,100,0,0,0,100,0,0,500,0,1600
2014-03-13 09:42:40,67,28347,0,4600,500,10280,2836,100,7089,0,0,0,2942
2014-03-13 09:42:41,7,11767,0,1800,0,0,0,0,3700,0,67,0,6200
2014-03-13 09:42:42,1,100,0,100,0,0,0,0,0,0,0,0,0
