TimeInterval,TradeCount,Volume,Chicago,BATS,NASDAQ OMX PSX,CBOE,BATS Y,NASDAQ OMX BX,Direct Edge A,Direct Edge X,NYSE Arca SM,NASDAQ OMX,NYSE,National
2014-03-13 09:30:02,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:30:05,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:30:07,15,4400,0,2000,0,0,300,0,0,0,1100,1000,0,0
2014-03-13 09:30:10,1,52,0,52,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:30:11,1,100,0,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:30:13,3,400,0,0,0,0,300,0,0,100,0,0,0,0
2014-03-13 09:30:18,1,100,0,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:30:19,1,100,0,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:30:22,1,100,0,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:30:23,1,54,0,0,0,0,0,0,0,0,0,54,0,0
2014-03-13 09:30:24,1,100,0,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:30:25,1,100,0,0,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:30:28,19,557642,0,182,0,0,0,1534,0,100,900,0,554926,0
2014-03-13 09:30:29,96,141754,0,4100,0,0,2688,3700,500,8600,15823,3623,102720,0
2014-03-13 09:30:30,5,650,0,0,0,0,0,550,100,0,0,0,0,0
2014-03-13 09:30:31,6,12600,0,0,0,0,0,0,0,12600,0,0,0,0
2014-03-13 09:30:32,17,5612,0,0,0,0,3400,15,0,2100,0,0,97,0
2014-03-13 09:30:33,10,1613,0,0,0,0,0,1385,228,0,0,0,0,0
2014-03-13 09:30:34,1,800,0,0,0,0,0,0,0,800,0,0,0,0
2014-03-13 09:30:36,5,2100,0,0,0,0,0,0,0,100,0,700,1300,0
2014-03-13 09:30:37,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:30:40,7,1311,0,300,0,0,1011,0,0,0,0,0,0,0
2014-03-13 09:30:41,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:30:42,1,25,0,0,0,0,0,0,0,0,0,0,25,0
2014-03-13 09:30:43,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:30:44,2,1100,0,0,0,0,100,1000,0,0,0,0,0,0
2014-03-13 09:30:45,1,100,0,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:30:50,8,3115,0,0,0,0,0,1115,0,0,0,2000,0,0
2014-03-13 09:30:51,8,2300,0,0,0,0,300,0,0,0,0,2000,0,0
2014-03-13 09:30:52,7,1789,0,700,0,0,389,0,200,0,0,100,400,0
2014-03-13 09:30:53,4,1496,0,96,0,0,0,0,200,0,0,600,0,600
2014-03-13 09:30:55,15,5976,0,0,0,0,0,0,0,4076,0,1900,0,0
2014-03-13 09:30:57,2,400,0,0,0,0,0,0,0,0,0,0,400,0
2014-03-13 09:30:59,1,100,0,0,0,0,0,100,0,0,0,0,0,0
2014-03-13 09:31:00,3,500,0,0,0,0,100,0,100,0,0,0,0,300
2014-03-13 09:31:01,6,2700,0,0,0,0,0,0,2700,0,0,0,0,0
2014-03-13 09:31:02,90,125996,0,11004,0,0,8400,5000,2962,64500,8820,7957,17353,0
2014-03-13 09:31:03,58,16057,0,4657,0,0,700,600,200,1683,906,6400,911,0
2014-03-13 09:31:05,21,13171,0,2100,0,0,800,900,1219,4900,0,3200,0,52
2014-03-13 09:31:07,4,1608,0,0,0,0,0,0,408,1200,0,0,0,0
2014-03-13 09:31:08,3,1200,0,0,0,0,0,200,0,0,0,1000,0,0
2014-03-13 09:31:09,4,500,0,100,0,0,100,100,0,200,0,0,0,0
2014-03-13 09:31:10,13,11500,0,0,0,0,0,1000,600,0,0,0,9900,0
2014-03-13 09:31:12,3,700,0,0,0,0,700,0,0,0,0,0,0,0
2014-03-13 09:31:15,47,59042,0,1177,800,0,800,500,400,45937,2832,2418,4178,0
2014-03-13 09:31:16,28,27942,0,0,0,0,900,400,0,900,100,24742,900,0
2014-03-13 09:31:17,3,601,0,0,0,0,0,0,0,0,0,601,0,0
2014-03-13 09:31:18,25,19311,0,0,2169,0,1700,300,800,2100,100,211,11931,0
2014-03-13 09:31:19,5,700,0,0,0,0,700,0,0,0,0,0,0,0
2014-03-13 09:31:20,1,400,0,0,0,0,0,0,0,0,0,0,400,0
2014-03-13 09:31:21,37,139461,0,10100,231,0,100,100,100,118730,7300,1300,1500,0
2014-03-13 09:31:22,1,164,0,0,0,0,0,164,0,0,0,0,0,0
2014-03-13 09:31:23,2,200,0,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:31:25,1,870,0,0,0,0,0,0,0,0,0,0,870,0
2014-03-13 09:31:26,4,300,0,0,0,0,100,136,64,0,0,0,0,0
2014-03-13 09:31:27,2,500,0,0,0,0,0,0,0,0,0,500,0,0
2014-03-13 09:31:28,6,2160,0,0,0,0,0,0,0,0,900,0,0,1260
2014-03-13 09:31:29,2,110,0,0,0,0,0,0,0,0,0,0,0,110
2014-03-13 09:31:30,1,300,0,0,0,0,0,0,0,0,0,0,0,300
2014-03-13 09:31:31,45,32635,0,0,0,0,6100,3600,3600,0,0,0,18800,535
2014-03-13 09:31:32,2,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:31:33,4,5700,0,0,0,0,200,0,0,0,0,0,5500,0
2014-03-13 09:31:35,25,7100,0,0,1100,0,2400,1100,600,0,0,200,1700,0
2014-03-13 09:31:36,11,4700,0,0,0,0,0,0,0,0,4700,0,0,0
2014-03-13 09:31:40,3,20900,0,0,0,0,0,900,0,0,0,0,20000,0
2014-03-13 09:31:41,1,36,0,0,0,0,0,0,0,0,36,0,0,0
2014-03-13 09:31:42,2,200,0,0,0,0,100,100,0,0,0,0,0,0
2014-03-13 09:31:46,30,16240,0,0,0,0,5300,1800,1400,0,0,140,5600,2000
2014-03-13 09:31:47,2,200,0,0,0,0,0,0,200,0,0,0,0,0
2014-03-13 09:31:48,4,1200,0,0,0,0,0,0,100,0,0,1100,0,0
2014-03-13 09:31:49,19,92000,0,5100,0,0,100,400,0,77800,500,8100,0,0
2014-03-13 09:31:50,2,500,0,0,0,0,0,500,0,0,0,0,0,0
2014-03-13 09:31:51,9,3700,0,0,0,0,1700,1000,0,0,1000,0,0,0
2014-03-13 09:31:52,7,1900,0,0,0,0,100,300,0,0,0,1500,0,0
2014-03-13 09:31:53,3,1000,0,0,0,0,0,1000,0,0,0,0,0,0
2014-03-13 09:31:55,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:31:57,13,9700,0,0,0,0,2500,0,0,0,0,6000,1200,0
2014-03-13 09:31:58,5,1100,0,100,0,0,1000,0,0,0,0,0,0,0
2014-03-13 09:31:59,25,16100,0,100,0,0,400,1300,200,1400,4300,1100,7300,0
2014-03-13 09:32:02,3,1700,0,0,0,0,0,0,0,0,0,1700,0,0
2014-03-13 09:32:03,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:32:06,6,638,0,0,0,0,0,400,38,0,0,0,0,200
2014-03-13 09:32:08,2,400,0,0,0,0,0,400,0,0,0,0,0,0
2014-03-13 09:32:09,3,500,0,0,0,0,100,400,0,0,0,0,0,0
2014-03-13 09:32:10,96,65800,0,5900,1100,0,9338,7000,1662,4400,1400,5100,29900,0
2014-03-13 09:32:11,44,19300,0,5200,0,0,1300,1200,1400,2300,4100,3800,0,0
2014-03-13 09:32:13,32,11400,0,0,0,0,2000,3300,1500,200,0,0,3200,1200
2014-03-13 09:32:15,3,12800,0,0,0,0,0,0,0,0,0,12800,0,0
2014-03-13 09:32:17,2,200,0,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:32:23,5,600,0,300,0,0,0,0,0,0,0,100,0,200
2014-03-13 09:32:24,43,25793,0,1200,0,0,1225,500,800,3400,0,2075,16593,0
2014-03-13 09:32:25,21,35775,0,9000,0,0,475,0,0,2500,8100,8000,7700,0
2014-03-13 09:32:26,38,24904,0,0,0,0,2285,1800,500,0,0,14600,5719,0
2014-03-13 09:32:27,1,200,0,0,0,0,0,200,0,0,0,0,0,0
2014-03-13 09:32:28,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-13 09:32:29,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:32:30,10,2900,0,100,0,0,100,1100,0,0,0,0,0,1600
2014-03-13 09:32:31,6,500,0,0,0,0,100,0,0,0,0,400,0,0
2014-03-13 09:32:39,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:32:40,1,100,0,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:32:43,4,1300,0,0,0,0,0,1300,0,0,0,0,0,0
2014-03-13 09:32:44,48,48400,0,13557,0,0,300,0,200,11050,3400,7293,12600,0
2014-03-13 09:32:46,2,600,0,0,0,0,0,0,0,500,0,0,100,0
2014-03-13 09:32:47,1,100,0,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:32:48,12,2900,0,0,0,0,0,0,0,200,100,2600,0,0
2014-03-13 09:32:49,2,1200,0,700,0,0,0,0,0,0,500,0,0,0
2014-03-13 09:32:50,1,96,0,0,0,0,0,0,0,0,0,96,0,0
2014-03-13 09:32:51,2,200,0,100,0,0,0,0,0,0,100,0,0,0
2014-03-13 09:32:52,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:32:53,1,300,0,0,0,0,0,0,0,300,0,0,0,0
2014-03-13 09:32:54,18,34496,0,800,0,0,0,0,0,15300,1100,9996,7300,0
2014-03-13 09:32:56,3,9000,0,0,0,0,0,0,1362,0,0,0,7638,0
2014-03-13 09:32:57,4,1100,0,100,0,0,0,0,300,0,0,0,700,0
2014-03-13 09:32:58,2,850,0,0,0,0,0,0,0,0,0,0,850,0
2014-03-13 09:33:01,2,200,0,100,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:33:02,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:33:03,2,500,0,100,0,0,0,0,0,0,0,0,400,0
2014-03-13 09:33:05,5,885,0,100,0,0,0,785,0,0,0,0,0,0
2014-03-13 09:33:09,102,68111,0,6550,1400,0,200,500,700,10970,15500,20718,10973,600
2014-03-13 09:33:10,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:33:12,2,400,0,0,0,0,0,300,100,0,0,0,0,0
2014-03-13 09:33:13,2,200,0,0,0,0,0,0,0,100,0,100,0,0
2014-03-13 09:33:15,1,500,0,0,0,0,0,0,0,0,500,0,0,0
2014-03-13 09:33:16,1,100,0,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:33:17,2,400,0,0,0,0,0,0,0,0,0,400,0,0
2014-03-13 09:33:18,33,18400,0,0,0,0,0,5200,6800,100,0,100,6200,0
2014-03-13 09:33:21,3,1184,0,0,0,0,0,0,0,0,0,100,1084,0
2014-03-13 09:33:22,1,800,0,0,0,0,0,0,0,0,0,0,800,0
2014-03-13 09:33:25,2,600,0,0,0,0,0,0,100,0,0,0,500,0
2014-03-13 09:33:27,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:33:31,2,300,0,100,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:33:36,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:33:37,2,500,0,0,0,0,500,0,0,0,0,0,0,0
2014-03-13 09:33:38,31,32920,0,1800,0,0,1200,0,0,16813,1500,8291,3316,0
2014-03-13 09:33:41,1,100,0,100,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:33:42,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:33:47,7,1068,0,0,0,0,445,300,300,0,0,0,23,0
2014-03-13 09:33:50,143,93726,0,4899,1800,0,18167,6300,4083,9728,7033,38216,3500,0
2014-03-13 09:33:51,1,700,0,700,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:33:52,2,102,0,0,0,0,100,0,0,0,0,0,2,0
2014-03-13 09:33:53,3,1000,0,0,0,0,0,1000,0,0,0,0,0,0
2014-03-13 09:33:58,44,18509,0,3300,200,0,3100,1900,800,4837,700,2210,1462,0
2014-03-13 09:34:00,1,400,0,0,0,0,0,0,0,0,0,400,0,0
2014-03-13 09:34:02,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:07,42,37326,0,3150,1320,0,3600,200,900,4957,2799,10500,9900,0
2014-03-13 09:34:08,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:11,2,500,0,0,0,0,500,0,0,0,0,0,0,0
2014-03-13 09:34:13,1,2400,0,0,0,0,0,0,0,0,0,0,2400,0
2014-03-13 09:34:18,3,400,0,0,0,0,100,100,0,200,0,0,0,0
2014-03-13 09:34:23,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:29,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:32,1,100,0,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:34:33,1,700,0,0,0,0,0,0,0,0,0,0,700,0
2014-03-13 09:34:34,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:37,3,400,0,0,0,0,0,400,0,0,0,0,0,0
2014-03-13 09:34:38,1,100,0,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:34:39,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:44,1,100,0,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:34:50,3,700,0,0,0,0,100,100,500,0,0,0,0,0
2014-03-13 09:34:51,83,43996,0,9917,0,0,4100,800,3100,9411,10668,5700,300,0
2014-03-13 09:34:52,1,300,0,0,0,0,0,0,0,0,0,0,300,0
2014-03-13 09:34:55,6,2949,0,200,0,0,100,100,0,0,100,0,0,2449
2014-03-13 09:34:58,59,22696,0,4210,100,0,3700,1900,3800,1800,4535,1700,600,351
2014-03-13 09:35:00,1,500,0,0,0,0,500,0,0,0,0,0,0,0
2014-03-13 09:35:01,1,200,0,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:35:03,1,400,0,0,0,0,0,0,0,0,0,0,400,0
2014-03-13 09:35:04,5,2500,0,0,0,0,900,0,0,0,1400,0,200,0
2014-03-13 09:35:05,2,300,0,0,0,0,200,0,0,0,0,0,100,0
2014-03-13 09:35:06,1,100,0,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:35:14,7,2500,0,0,0,0,0,2500,0,0,0,0,0,0
2014-03-13 09:35:16,4,265,0,0,0,0,200,0,0,0,0,65,0,0
2014-03-13 09:35:21,1,43,0,0,0,0,0,0,0,0,0,0,43,0
2014-03-13 09:35:23,11,2239,0,0,0,0,1000,800,439,0,0,0,0,0
2014-03-13 09:35:24,2,600,0,0,0,0,0,100,500,0,0,0,0,0
2014-03-13 09:35:29,46,22807,0,3600,0,0,1400,100,161,3879,861,7523,5283,0
2014-03-13 09:35:31,3,1000,0,0,0,0,200,100,700,0,0,0,0,0
2014-03-13 09:35:33,1,100,0,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:35:34,2,700,0,0,0,0,0,0,0,0,0,700,0,0
2014-03-13 09:35:35,2,600,0,600,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:35:36,56,45570,0,3515,0,0,1285,1400,10600,4403,7057,9410,7900,0
2014-03-13 09:35:37,1,200,0,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:35:38,7,9300,0,0,0,0,0,0,0,0,900,8100,300,0
2014-03-13 09:35:45,75,117669,0,13958,2000,0,2200,100,4962,45000,10055,32000,7394,0
2014-03-13 09:35:46,2,101,0,0,0,0,101,0,0,0,0,0,0,0
2014-03-13 09:35:49,1,100,0,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:35:51,1,100,0,0,0,0,0,0,0,0,0,100,0,0
2014-03-13 09:35:54,1,200,0,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:36:00,20,11825,0,3861,0,0,499,0,400,47,49,169,6800,0
