TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX,BATS,NASDAQ OMX BX,Direct Edge X,NASDAQ OMX PSX,National,NYSE Arca SM,Direct Edge A,BATS Y,NYSE
2014-03-13 09:30:01,9,45886,0,0,0,0,100,0,0,1445,0,0,44341
2014-03-13 09:30:04,2,200,0,0,100,0,0,0,0,100,0,0,0
2014-03-13 09:30:06,3,278,0,0,0,0,0,0,0,78,0,0,200
2014-03-13 09:30:07,7,286,0,18,0,0,0,0,0,177,0,0,91
2014-03-13 09:30:10,3,26,0,0,14,0,0,0,0,12,0,0,0
2014-03-13 09:30:11,3,300,0,100,0,0,100,0,0,0,0,0,100
2014-03-13 09:30:12,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:30:15,1,46,0,0,0,0,0,0,0,0,0,0,46
2014-03-13 09:30:16,13,2000,0,100,200,186,300,0,0,0,0,300,914
2014-03-13 09:30:17,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:30:20,1,50,0,0,0,0,0,0,0,0,0,0,50
2014-03-13 09:30:27,5,374,0,1,0,0,0,0,0,100,0,0,273
2014-03-13 09:30:28,9,1250,0,100,300,0,500,0,0,0,0,0,350
2014-03-13 09:30:29,7,750,0,0,0,0,700,0,0,0,0,0,50
2014-03-13 09:30:30,2,200,0,100,0,0,100,0,0,0,0,0,0
2014-03-13 09:30:31,4,531,0,0,100,0,100,0,0,0,0,0,331
2014-03-13 09:30:39,3,400,0,100,0,0,0,0,0,0,0,0,300
2014-03-13 09:30:43,1,200,0,0,0,0,0,0,0,0,0,0,200
2014-03-13 09:30:57,2,127,0,0,0,0,0,0,0,0,0,0,127
2014-03-13 09:30:58,1,1,0,1,0,0,0,0,0,0,0,0,0
2014-03-13 09:30:59,1,87,0,0,0,0,0,0,0,0,0,0,87
2014-03-13 09:31:00,2,600,0,0,0,0,500,0,0,0,0,0,100
2014-03-13 09:31:01,3,327,0,0,0,0,0,0,0,100,227,0,0
2014-03-13 09:31:02,9,765,0,300,0,0,102,0,0,190,73,0,100
2014-03-13 09:31:03,2,158,0,0,0,0,0,0,0,0,0,0,158
2014-03-13 09:31:04,7,742,0,0,0,0,200,0,0,0,0,0,542
2014-03-13 09:31:06,2,198,0,0,0,98,0,0,0,0,0,0,100
2014-03-13 09:31:11,2,109,0,0,0,0,0,0,0,9,0,0,100
2014-03-13 09:31:13,9,1493,0,300,100,0,100,0,0,0,0,0,993
2014-03-13 09:31:14,10,1387,0,0,100,0,287,0,0,0,0,0,1000
2014-03-13 09:31:15,19,2700,0,0,900,100,200,0,0,500,0,100,900
2014-03-13 09:31:16,8,759,0,0,0,0,0,0,0,100,100,459,100
