TimeInterval,TradeCount,Volume,BATS Y,NASDAQ OMX PSX,Direct Edge X,Chicago,BATS,CBOE,Direct Edge A,NASDAQ,NYSE Arca SM,NASDAQ OMX BX,National
2014-03-13 09:30:01,7,202,49,0,10,0,0,0,28,115,0,0,0
2014-03-13 09:30:02,11,435,0,0,215,0,0,0,0,200,20,0,0
2014-03-13 09:30:03,42,1071,0,0,369,0,0,0,0,702,0,0,0
2014-03-13 09:30:04,22,705,0,0,0,0,0,0,0,327,378,0,0
2014-03-13 09:30:05,11,117,0,0,25,0,0,0,0,92,0,0,0
2014-03-13 09:30:08,9,212,0,0,0,0,13,0,0,95,104,0,0
2014-03-13 09:30:09,1,10,0,0,0,0,0,0,0,0,10,0,0
2014-03-13 09:30:10,1,22,0,0,0,0,0,0,0,22,0,0,0
2014-03-13 09:30:12,2,9,0,0,0,0,0,0,0,0,9,0,0
2014-03-13 09:30:16,3,514,0,0,0,0,0,0,0,514,0,0,0
2014-03-13 09:30:17,2,30,0,0,15,0,0,0,0,15,0,0,0
2014-03-13 09:30:18,6,400,0,0,0,0,0,0,0,400,0,0,0
2014-03-13 09:30:24,2,160,0,0,0,0,0,0,0,160,0,0,0
2014-03-13 09:30:28,1,4,0,0,0,0,0,0,0,0,0,4,0
2014-03-13 09:30:30,4,220,0,0,0,0,0,0,200,0,20,0,0
2014-03-13 09:30:31,33,3042,200,0,200,0,420,0,200,1033,789,200,0
2014-03-13 09:30:38,2,121,0,0,0,0,0,0,0,21,100,0,0
2014-03-13 09:30:40,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:30:43,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-03-13 09:30:52,3,17,0,0,0,0,1,0,0,8,0,8,0
2014-03-13 09:30:54,17,1144,0,90,0,0,360,100,0,192,292,110,0
2014-03-13 09:30:55,3,300,0,0,0,0,0,0,100,200,0,0,0
2014-03-13 09:30:56,21,1316,0,190,0,0,0,0,20,392,714,0,0
2014-03-13 09:31:02,3,125,0,0,0,0,0,0,0,0,0,125,0
2014-03-13 09:31:09,2,8,0,0,8,0,0,0,0,0,0,0,0
2014-03-13 09:31:10,1,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:31:14,2,193,0,0,0,0,0,0,193,0,0,0,0
