TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,Direct Edge A,NASDAQ OMX,Direct Edge X,NASDAQ OMX PSX,NYSE Arca SM,BATS Y,NYSE,BATS,National
2014-03-13 09:30:15,8,701,0,0,0,200,100,0,401,0,0,0,0
2014-03-13 09:30:16,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:30:25,4,800,0,0,0,600,0,0,200,0,0,0,0
2014-03-13 09:30:27,1,200,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:30:29,1,44,0,0,0,44,0,0,0,0,0,0,0
2014-03-13 09:30:45,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:30:52,1,100,0,0,0,0,0,0,100,0,0,0,0
2014-03-13 09:30:56,23,45037,0,0,0,131,152,0,100,0,44527,127,0
2014-03-13 09:30:57,7,637,0,0,0,85,0,0,0,0,309,0,243
2014-03-13 09:30:58,5,263,0,0,0,15,148,0,0,0,100,0,0
2014-03-13 09:30:59,8,483,0,100,0,100,110,0,0,0,173,0,0
2014-03-13 09:31:00,7,949,0,400,400,0,0,0,0,0,0,149,0
2014-03-13 09:31:02,1,300,0,0,0,300,0,0,0,0,0,0,0
2014-03-13 09:31:03,1,30,0,30,0,0,0,0,0,0,0,0,0
2014-03-13 09:31:05,1,200,0,200,0,0,0,0,0,0,0,0,0
2014-03-13 09:31:06,2,400,0,400,0,0,0,0,0,0,0,0,0
2014-03-13 09:31:07,11,1200,0,0,0,474,0,0,100,0,535,65,26
2014-03-13 09:31:11,6,620,0,300,0,0,0,0,100,0,220,0,0
2014-03-13 09:31:15,12,915,0,300,0,100,100,0,105,0,310,0,0
2014-03-13 09:31:20,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:31:24,1,100,0,100,0,0,0,0,0,0,0,0,0
2014-03-13 09:31:27,1,13,0,0,0,0,0,0,0,0,0,0,13
2014-03-13 09:31:28,4,500,0,100,0,0,400,0,0,0,0,0,0
2014-03-13 09:31:32,10,1130,0,300,300,100,0,0,100,0,330,0,0
2014-03-13 09:31:43,58,7521,0,1200,200,1802,600,100,501,196,1484,1338,100
2014-03-13 09:31:45,10,1312,0,600,0,100,0,0,0,0,100,512,0
2014-03-13 09:31:58,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:32:08,6,1000,0,600,100,200,0,0,0,0,100,0,0
2014-03-13 09:32:09,10,1184,0,0,444,100,0,0,0,200,340,100,0
2014-03-13 09:32:10,5,456,0,0,156,0,0,0,0,100,200,0,0
2014-03-13 09:32:13,3,201,0,0,0,0,0,0,101,0,100,0,0
