TimeInterval,TradeCount,Volume,NYSE MKT,NYSE Arca SM,NASDAQ OMX BX,BATS,National,NASDAQ,CBOE,Direct Edge X,NASDAQ OMX PSX,BATS Y,Direct Edge A
2014-03-13 09:30:01,10,1243,0,0,0,0,0,1243,0,0,0,0,0
2014-03-13 09:30:02,22,11600,0,1600,0,200,0,7950,0,1750,0,100,0
2014-03-13 09:30:03,4,8400,0,0,0,0,0,7300,0,1100,0,0,0
2014-03-13 09:30:05,4,721,0,0,0,0,0,221,0,500,0,0,0
2014-03-13 09:30:06,1,500,0,0,0,0,0,500,0,0,0,0,0
2014-03-13 09:30:07,2,200,0,0,200,0,0,0,0,0,0,0,0
2014-03-13 09:30:09,10,3400,0,100,700,0,0,500,0,300,0,900,900
2014-03-13 09:30:10,2,400,0,0,100,0,0,300,0,0,0,0,0
2014-03-13 09:30:12,7,2329,300,29,0,100,0,1200,0,700,0,0,0
2014-03-13 09:30:13,21,5978,100,299,300,800,0,4279,0,200,0,0,0
2014-03-13 09:30:14,1,100,0,0,100,0,0,0,0,0,0,0,0
2014-03-13 09:30:16,10,6600,0,100,200,400,0,400,0,3400,0,0,2100
2014-03-13 09:30:18,3,1000,0,0,0,0,0,1000,0,0,0,0,0
2014-03-13 09:30:19,11,7200,0,100,0,400,0,1400,0,100,0,0,5200
2014-03-13 09:30:20,2,200,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:30:29,16,13500,0,800,0,200,0,200,0,3800,0,0,8500
2014-03-13 09:30:34,25,3925,0,400,200,625,0,1700,0,100,0,0,900
2014-03-13 09:30:38,94,99900,0,1090,300,4775,900,58736,0,32444,0,200,1455
2014-03-13 09:30:39,3,8300,0,0,0,0,0,8300,0,0,0,0,0
2014-03-13 09:30:40,6,1190,0,0,0,0,0,1190,0,0,0,0,0
2014-03-13 09:30:42,32,6000,0,1000,100,200,0,4400,0,200,0,100,0
2014-03-13 09:30:43,5,500,0,0,0,0,0,500,0,0,0,0,0
2014-03-13 09:30:44,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:30:47,1,100,0,0,0,0,0,100,0,0,0,0,0
2014-03-13 09:30:50,33,4402,0,600,0,600,0,802,0,2300,0,0,100
2014-03-13 09:30:56,8,1100,0,100,0,100,0,800,0,100,0,0,0
2014-03-13 09:30:57,2,300,0,0,0,0,0,300,0,0,0,0,0
2014-03-13 09:31:02,82,46700,0,600,0,28300,0,2700,0,400,0,0,14700
2014-03-13 09:31:03,47,9708,0,1400,0,308,0,7600,0,400,0,0,0
2014-03-13 09:31:04,4,600,0,0,0,600,0,0,0,0,0,0,0
2014-03-13 09:31:05,1,200,0,0,0,200,0,0,0,0,0,0,0
2014-03-13 09:31:07,38,6700,0,400,200,4500,0,1200,0,200,0,100,100
2014-03-13 09:31:10,13,3522,0,100,100,1422,0,1700,0,0,0,100,100
2014-03-13 09:31:14,8,1300,0,0,0,600,0,300,0,400,0,0,0
2014-03-13 09:31:17,7,700,0,0,0,0,0,0,0,0,0,0,700
2014-03-13 09:31:18,44,9400,0,1400,100,5300,0,2000,0,400,0,100,100
2014-03-13 09:31:21,1,100,0,0,0,0,100,0,0,0,0,0,0
