TimeInterval,TradeCount,Volume,Chicago,NASDAQ OMX BX,National,Direct Edge A,BATS,NASDAQ OMX PSX,Direct Edge X,NYSE Arca SM,CBOE,NASDAQ,BATS Y
2014-03-13 09:30:01,6,136,0,0,0,0,0,0,0,0,0,136,0
2014-03-13 09:30:02,1,15,0,0,0,0,0,0,15,0,0,0,0
2014-03-13 09:30:03,8,411,0,200,0,0,0,0,100,70,0,41,0
2014-03-13 09:30:04,1,15,0,0,0,0,0,0,0,0,0,15,0
2014-03-13 09:30:05,9,583,0,100,0,0,83,0,0,0,0,400,0
2014-03-13 09:30:06,19,1200,0,0,0,0,0,0,400,200,0,500,100
2014-03-13 09:30:07,2,105,0,5,0,100,0,0,0,0,0,0,0
2014-03-13 09:30:08,11,2032,0,0,0,100,1000,0,632,0,0,300,0
2014-03-13 09:30:11,8,947,0,0,0,0,100,0,547,0,0,300,0
2014-03-13 09:30:12,1,2,0,0,0,0,0,0,0,2,0,0,0
2014-03-13 09:30:15,1,38,0,38,0,0,0,0,0,0,0,0,0
2014-03-13 09:30:16,3,300,0,0,0,0,0,0,0,200,0,100,0
2014-03-13 09:30:18,2,400,0,0,0,0,0,0,0,0,0,400,0
2014-03-13 09:30:20,4,430,0,100,0,0,100,0,0,0,0,230,0
2014-03-13 09:30:22,10,857,0,0,0,0,0,0,0,0,100,757,0
2014-03-13 09:30:23,1,30,0,0,0,0,0,0,0,0,0,30,0
2014-03-13 09:30:26,2,500,0,0,0,0,0,0,0,0,0,500,0
2014-03-13 09:30:28,2,100,0,0,0,0,0,0,0,0,0,100,0
2014-03-13 09:30:29,1,38,0,0,0,0,38,0,0,0,0,0,0
2014-03-13 09:30:30,3,200,0,0,0,0,100,0,0,100,0,0,0
2014-03-13 09:30:35,3,172,0,0,0,0,0,0,0,0,0,172,0
2014-03-13 09:30:36,2,140,0,0,0,0,0,0,0,0,0,140,0
2014-03-13 09:30:38,19,1612,0,150,0,0,562,0,500,0,0,400,0
2014-03-13 09:30:39,12,1100,0,100,0,300,100,0,200,0,0,200,200
2014-03-13 09:30:41,1,50,0,0,0,0,0,0,0,0,0,50,0
2014-03-13 09:30:46,3,300,0,100,0,0,0,0,200,0,0,0,0
2014-03-13 09:30:50,1,100,0,0,0,100,0,0,0,0,0,0,0
2014-03-13 09:30:52,24,2019,0,0,400,300,268,0,122,0,0,929,0
2014-03-13 09:30:53,21,1601,0,0,0,0,80,0,600,0,0,921,0
2014-03-13 09:30:54,4,300,0,0,0,0,100,0,0,0,0,200,0
2014-03-13 09:30:55,45,5163,0,200,0,200,670,0,150,200,0,3643,100
2014-03-13 09:30:56,13,1200,0,0,0,0,200,0,0,200,0,800,0
2014-03-13 09:30:57,9,1400,0,0,0,0,0,0,700,0,0,700,0
2014-03-13 09:30:58,31,2119,0,14,0,0,0,0,218,0,0,1887,0
2014-03-13 09:30:59,17,1255,0,149,0,0,0,0,225,133,0,748,0
2014-03-13 09:31:00,5,262,0,0,0,0,0,0,135,67,0,60,0
2014-03-13 09:31:02,4,750,0,0,0,0,0,0,0,0,0,750,0
2014-03-13 09:31:03,1,50,0,0,0,0,0,0,50,0,0,0,0
2014-03-13 09:31:04,8,720,0,2,0,0,0,0,10,0,0,708,0
2014-03-13 09:31:05,9,600,0,0,0,0,0,0,313,287,0,0,0
2014-03-13 09:31:08,5,265,0,0,0,0,0,0,0,200,0,65,0
2014-03-13 09:31:09,2,200,0,0,0,0,0,0,0,0,0,200,0
2014-03-13 09:31:10,2,200,0,0,0,0,0,0,0,200,0,0,0
2014-03-13 09:31:11,4,700,0,0,0,500,0,0,0,200,0,0,0
2014-03-13 09:31:12,22,2490,0,100,0,100,0,0,692,627,0,971,0
