"","Date","TOD","Exchange","Volume","Proportion"
"1",20140102,"After-Hours","BATS",81520,0.0470215548145469
"2",20140103,"After-Hours","BATS",44650,0.03041285881554
"3",20140106,"After-Hours","BATS",87652,0.0613544427932749
"4",20140107,"After-Hours","BATS",662148,0.206650150833375
"5",20140108,"After-Hours","BATS",115708,0.062067182409113
"6",20140109,"After-Hours","BATS",89641,0.0596124304230148
"7",20140110,"After-Hours","BATS",42658,0.0218105998554072
"8",20140113,"After-Hours","BATS",33270,0.0349031168367936
"9",20140114,"After-Hours","BATS",82262,0.0433093065361979
"10",20140115,"After-Hours","BATS",1132536,0.0948248621629429
"11",20140116,"After-Hours","BATS",188766,0.0549678257998124
"12",20140117,"After-Hours","BATS",63887,0.0208302358762478
"13",20140121,"After-Hours","BATS",104704,0.0236646537035124
"14",20140122,"After-Hours","BATS",382380,0.0932480628189262
"15",20140123,"After-Hours","BATS",24949,0.0164917392574652
"16",20140124,"After-Hours","BATS",57261,0.0323399213147197
"17",20140127,"After-Hours","BATS",31828,0.017673935110426
"18",20140128,"After-Hours","BATS",105400,0.0421867801680507
"19",20140129,"After-Hours","BATS",102238,0.0357628704602496
"20",20140130,"After-Hours","BATS",130735,0.0525271364423859
"21",20140131,"After-Hours","BATS",86779,0.0501802125310883
"22",20140203,"After-Hours","BATS",46500,0.0327762544847079
"23",20140204,"After-Hours","BATS",85467,0.0506076446457163
"24",20140205,"After-Hours","BATS",41916,0.0316063785828254
"25",20140206,"After-Hours","BATS",47050,0.0337318301579051
"26",20140207,"After-Hours","BATS",108352,0.0608473660624535
"27",20140210,"After-Hours","BATS",68995,0.0550801554171267
"28",20140211,"After-Hours","BATS",64942,0.0455322744051855
"29",20140212,"After-Hours","BATS",64090,0.0258542929663737
"30",20140213,"After-Hours","BATS",90121,0.0397741917260713
"31",20140214,"After-Hours","BATS",32400,0.0411895124382157
"32",20140218,"After-Hours","BATS",24720,0.0263795085002417
"33",20140219,"After-Hours","BATS",44966,0.0140082044227122
"34",20140220,"After-Hours","BATS",49593,0.0365184735185287
"35",20140221,"After-Hours","BATS",42254,0.0536175407296117
"36",20140224,"After-Hours","BATS",17883,0.0265642895021814
"37",20140225,"After-Hours","BATS",35123,0.0297367523162122
"38",20140226,"After-Hours","BATS",33146,0.0193937649273948
"39",20140227,"After-Hours","BATS",39594,0.0316909440610095
"40",20140228,"After-Hours","BATS",78168,0.0541708160341956
"41",20140303,"After-Hours","BATS",103736,0.0494497820340785
"42",20140304,"After-Hours","BATS",65982,0.0360686475213806
"43",20140305,"After-Hours","BATS",2075,0.0066611023723155
"44",20140306,"After-Hours","BATS",129063,0.0690890267377847
"45",20140307,"After-Hours","BATS",185436,0.075012469312143
"46",20140310,"After-Hours","BATS",59180,0.0463348637357269
"47",20140311,"After-Hours","BATS",47185,0.0306930641545861
"48",20140312,"After-Hours","BATS",39545,0.0313090830781314
"49",20140313,"After-Hours","BATS",41800,0.0358547146376444
"50",20140314,"After-Hours","BATS",49398,0.0448739436255072
"51",20140317,"After-Hours","BATS",36983,0.0307971467067713
"52",20140318,"After-Hours","BATS",51740,0.0648812412456095
"53",20140319,"After-Hours","BATS",13600,0.0202902096754462
"54",20140320,"After-Hours","BATS",57614,0.0254590013040149
"55",20140321,"After-Hours","BATS",218495,0.0726631124667812
"56",20140324,"After-Hours","BATS",93492,0.0890039745817169
"57",20140325,"After-Hours","BATS",23537,0.0228577588383593
"58",20140326,"After-Hours","BATS",41351,0.0172728806875902
"59",20140327,"After-Hours","BATS",812056,0.292432042147643
"60",20140328,"After-Hours","BATS",34925,0.0359879397896264
"61",20140331,"After-Hours","BATS",95212,0.0883720066827548
"62",20140401,"After-Hours","BATS",41208,0.0494148119723715
"63",20140402,"After-Hours","BATS",33118,0.0452514531348635
"64",20140403,"After-Hours","BATS",62141,0.0355678399553091
"65",20140404,"After-Hours","BATS",89699,0.0634889289503542
"66",20140407,"After-Hours","BATS",106754,0.0900525786127446
"67",20140408,"After-Hours","BATS",57371,0.0840336011366383
"68",20140409,"After-Hours","BATS",67551,0.0695333971528271
"69",20140410,"After-Hours","BATS",75678,0.0830471015049393
"70",20140411,"After-Hours","BATS",224177,0.0887348250652121
"71",20140414,"After-Hours","BATS",130396,0.085352052013984
"72",20140415,"After-Hours","BATS",69405,0.0641961856893517
"73",20140416,"After-Hours","BATS",314213,0.0771001246752151
"74",20140417,"After-Hours","BATS",203814,0.0526643133864367
"75",20140421,"After-Hours","BATS",125056,0.076787141886988
"76",20140422,"After-Hours","BATS",40058,0.0270374615105287
