SIZE,DATE,COND,SYMBOL,TIME,EX
382,20140102,M,AMD,16:00:03,T
2000,20140102,,AMD,16:00:07,D
455258,20140102,6,AMD,16:00:47,N
22448,20140102,,AMD,16:00:47,D
6890,20140102,N,AMD,16:00:47,D
2520,20140102,N,AMD,16:00:47,D
1236,20140102,,AMD,16:00:47,D
60000,20140102,,AMD,16:00:53,D
100,20140102,T,AMD,16:01:11,T
200,20140102,T,AMD,16:01:11,T
200,20140102,T,AMD,16:01:11,T
300,20140102,T,AMD,16:01:11,T
300,20140102,T,AMD,16:01:11,T
400,20140102,F,AMD,16:01:11,T
4000,20140102,F,AMD,16:01:27,T
100,20140102,F,AMD,16:01:32,T
170100,20140102,,AMD,16:01:47,D
1500,20140102,,AMD,16:04:57,D
7433,20140102,,AMD,16:07:00,D
100,20140102,F,AMD,16:19:46,T
19014,20140102,,AMD,16:23:09,D
200,20140102,T,AMD,16:25:03,K
43,20140102,,AMD,16:25:54,D
800,20140102,T,AMD,16:28:55,K
150,20140102,T,AMD,16:28:55,K
350,20140102,T,AMD,16:29:00,K
50,20140102,F,AMD,16:29:00,Z
1300,20140102,,AMD,16:33:18,D
500,20140102,T,AMD,16:36:29,P
125,20140102,F,AMD,16:46:15,P
4000,20140102,,AMD,16:55:49,D
6000,20140102,,AMD,16:55:55,D
200,20140102,F,AMD,16:57:53,T
1000,20140102,F,AMD,16:57:53,T
300,20140102,F,AMD,16:57:53,T
200,20140102,F,AMD,16:58:22,T
300,20140102,F,AMD,16:58:22,T
6300,20140102,F,AMD,16:58:22,P
500,20140102,T,AMD,16:58:41,K
1000,20140102,T,AMD,16:58:41,K
16500,20140102,F,AMD,16:58:41,P
2075,20140102,T,AMD,16:58:49,P
400,20140102,F,AMD,17:01:10,T
1000,20140102,T,AMD,17:04:24,K
600,20140102,F,AMD,17:06:02,T
300,20140102,F,AMD,17:06:02,P
1000,20140102,F,AMD,17:06:02,P
1700,20140102,T,AMD,17:06:02,K
1000,20140102,,AMD,17:22:27,D
100,20140102,,AMD,17:32:08,D
7400,20140102,T,AMD,17:49:45,K
2600,20140102,,AMD,17:49:45,D
100,20140102,,AMD,18:06:35,D
3050,20140102,T,AMD,18:14:21,K
600,20140102,T,AMD,18:20:58,K
200,20140102,,AMD,18:59:35,D
1300,20140102,,AMD,19:18:02,D
600,20140102,T,AMD,19:25:52,K
2000,20140102,T,AMD,19:31:01,K
200,20140102,F,AMD,19:32:11,P
300,20140102,F,AMD,19:32:11,P
1650,20140102,T,AMD,19:32:11,K
318,20140102,F,AMD,19:32:11,P
550,20140102,F,AMD,19:32:11,T
100,20140102,F,AMD,19:40:09,T
100,20140102,F,AMD,19:40:09,P
257,20140102,F,AMD,19:40:09,P
100,20140103,F,AMD,16:00:03,T
300,20140103,M,AMD,16:00:03,T
124791,20140103,6,AMD,16:00:25,N
4900,20140103,T,AMD,16:00:44,T
40,20140103,,AMD,16:00:44,T
2843,20140103,F,AMD,16:00:57,T
983,20140103,T,AMD,16:01:07,K
983,20140103,T,AMD,16:01:07,K
2000,20140103,,AMD,16:01:17,D
815,20140103,,AMD,16:01:17,D
5929,20140103,,AMD,16:01:17,D
571,20140103,,AMD,16:01:17,D
500,20140103,,AMD,16:01:17,D
475,20140103,,AMD,16:01:17,D
534,20140103,T,AMD,16:01:23,K
500,20140103,T,AMD,16:01:23,K
5966,20140103,T,AMD,16:01:23,K
52644,20140103,,AMD,16:01:33,K
4500,20140103,T,AMD,16:01:33,K
600,20140103,F,AMD,16:01:52,P
25,20140103,F,AMD,16:01:52,T
75,20140103,F,AMD,16:01:52,T
300,20140103,F,AMD,16:02:42,P
83,20140103,F,AMD,16:02:42,P
25,20140103,F,AMD,16:02:42,T
1000,20140103,F,AMD,16:02:48,T
25,20140103,F,AMD,16:02:51,T
75,20140103,F,AMD,16:02:51,T
900,20140103,T,AMD,16:02:51,K
1000,20140103,,AMD,16:04:09,D
25,20140103,F,AMD,16:04:20,T
175,20140103,F,AMD,16:04:20,T
234,20140103,T,AMD,16:04:20,K
6000,20140103,T,AMD,16:04:49,K
1050,20140103,,AMD,16:05:12,D
1950,20140103,,AMD,16:05:16,D
1000,20140103,T,AMD,16:05:49,P
592,20140103,F,AMD,16:05:49,T
108,20140103,F,AMD,16:06:07,P
1000,20140103,F,AMD,16:06:07,T
92,20140103,F,AMD,16:06:14,T
700,20140103,F,AMD,16:08:07,T
1000,20140103,,AMD,16:08:35,D
3000,20140103,T,AMD,16:08:35,K
908,20140103,F,AMD,16:08:35,T
300,20140103,,AMD,16:08:55,D
50,20140103,,AMD,16:09:23,T
100,20140103,F,AMD,16:09:23,T
300,20140103,F,AMD,16:10:51,T
100,20140103,F,AMD,16:10:51,P
100,20140103,T,AMD,16:10:51,K
50,20140103,,AMD,16:10:58,T
100,20140103,,AMD,16:11:00,D
100,20140103,,AMD,16:11:02,D
500,20140103,T,AMD,16:11:08,K
25,20140103,,AMD,16:11:10,T
100,20140103,T,AMD,16:11:10,T
57,20140103,,AMD,16:11:10,T
100,20140103,T,AMD,16:11:10,K
100,20140103,,AMD,16:11:22,D
100,20140103,,AMD,16:11:24,D
100,20140103,,AMD,16:11:25,D
100,20140103,,AMD,16:11:25,D
100,20140103,,AMD,16:11:26,D
100,20140103,,AMD,16:11:26,D
100,20140103,,AMD,16:11:28,D
100,20140103,,AMD,16:11:29,D
100,20140103,,AMD,16:11:29,D
100,20140103,,AMD,16:11:30,D
566,20140103,T,AMD,16:11:44,K
